           0            0
          40      3.95658
          80      9.57588
         120      14.2246
         160      21.3005
         200      25.6398
         240      29.8343
         280      34.6319
         320      40.4298
         360      45.1349
         400       47.458
         440      56.0949
         480       58.405
         520       62.945
         560      70.6211
         600      75.9951
         640       80.277
         680      85.3397
         720       89.422
         760      93.0844
         800      100.668
         840      104.762
         880       109.97
         920      114.991
         960      119.313
        1000      122.384
        1040      131.682
        1080      135.706
        1120      138.756
        1160      142.792
        1200      149.989
        1240       153.56
        1280       159.82
        1320      164.972
        1360      170.419
        1400      175.091
        1440      180.759
        1480      186.879
        1520      187.452
        1560      197.455
        1600      199.676
        1640      207.634
        1680      210.717
        1720      214.645
        1760      220.975
        1800      223.658
        1840      229.293
        1880      236.054
        1920      240.071
        1960       245.77
        2000      250.427
